code,name,name_fa,icao,logo
RY,Jiangxi Air,,RAY,images/airlines/RAY.png
S0,Slok Air Gambia,,SAL,images/airlines/SAL.png
S3,Santa Barbara Airlines,,BBR,images/airlines/BBR.png
S4,SATA International,,RZO,images/airlines/RZO.png
S7,Siberia,,SBI,images/airlines/SBI.png
SA,South African Airways,,SAA,images/airlines/SAA.png
SB,Air Caledonie International,,ACI,images/airlines/ACI.png
SBT,Taftan Air,,SBT,images/airlines/SBT.png
SC,Shandong Airlines,,CDG,images/airlines/CDG.png
SD,Sudan Airways,,SUD,images/airlines/SUD.png
SE,XL Airways France,,SEU,images/airlines/SEU.png
SG,Spicejet,,SEJ,images/airlines/SEJ.png
SH,Fly Me Sweden,,SHA,images/airlines/SHA.png
SHI,Sepehran,هواپیمایی سپهران,SHI,images/airlines/SHI.png
SJ,Sriwijaya Air,,SJY,images/airlines/SJY.png
SJT,Asa Jet Airlines,هواپیمایی آسا جت,SJT,images/airlines/SJT.png
SK,Scandinavian Airlines,,SAS,images/airlines/SAS.png
SN,Brussels Airlines,,DAT,images/airlines/DAT.png
SP,SATA Air Acores,,SAT,images/airlines/SAT.png
SQ,Singapore Airlines,,SQC,images/airlines/SQC.png
SR,Sundair,,SWR,images/airlines/SWR.png
SS,Corsairfly,,CRL,images/airlines/CRL.png
ST,Germania,,GMI,images/airlines/GMI.png
SU,Aeroflot Airlines,,AFL,images/airlines/AFL.png
SV,Saudia,,SVA,images/airlines/SVA.png
SW,Air Namibia,,NMB,images/airlines/NMB.png
SY,Sun Country Airlines,,SCX,images/airlines/SCX.png
T3,Eastern Airways,,EZE,images/airlines/EZE.png
T5,Turkmenistan Airlines,,TUA,images/airlines/TUA.png
T7,Twin Jet,,TJT,images/airlines/TJT.png
TA,Taca International Airline,,TAT,images/airlines/TAT.png
TB,Jetairfly,هواپیمایی آتا,TBZ,images/airlines/TBZ.png
TC,Air Tanzania,,ATC,images/airlines/ATC.png
TD,Atlantis European Airways,,TLP,images/airlines/TLP.png
TE,Sky Taxi,,LIL,images/airlines/LIL.png
