date,event_name,event_type,is_off
2025-10-07,طوفان الاقصی,jalali,0
2025-10-08,روز جهانی کودک,gregorian,0
2025-10-09,روز جهانی پست,gregorian,0
2025-10-12,روز اسکان معلولان و سالمندان,jalali,0
2025-10-12,روز بزرگداشت حافظ,jalali,0
2025-10-14,روز جهانی استاندارد,gregorian,0
2025-10-15,شهادت پنجمین شهید محراب، آیت‌اللّه اشرفی اصفهانی به دست منافقان(۱۳۶۱ ه‍.ش),jalali,0
2025-10-15,روز جهانی نابینایان (عصای سفید),gregorian,0
2025-10-16,روز پیوند اولیا و مربیان,jalali,0
2025-10-16,‫سالروز واقعه به آتش كشیدن مسجد جامع شهر كرمان توسط دژخیمان رژیم پهلوی(۱۳۵۷ ه‍.ش),jalali,0
2025-10-16,روز ملی پارالمپیک,jalali,0
2025-10-16,روز جهانی غذا,gregorian,0
2025-10-17,روز نسل کشی کودکان و زنان فلسطینی,jalali,0
2025-10-18,روز تربیت بدنی و ورزش,jalali,0
2025-10-21,روز صادرات,jalali,0
2025-10-23,شهادت مظلومانهٔ آیت‌اللّه حاج سید مصطفی خمینی(۱۳۵۶ ه‍.ش),jalali,0
2025-10-23,روز آمار و برنامه‌ریزی,jalali,0
2025-10-23,روز بزرگداشت ابوالفضل بیهقی,jalali,0
2025-10-23,روز جهانی مول (شیمی),gregorian,0
2025-10-26,ولادت حضرت زینب(س)(۵ ه‍‍.ق) و روز پرستار,hijri,0
2025-10-26,اعتراض و افشاگری حضرت امام خمینی(ره) علیه پذیرش کاپیتولاسیون(۱۳۴۳ ه‍.ش),jalali,0
2025-10-30,روز پدافند غیرعامل,jalali,0
2025-10-30,شهادت محمدحسین فهمیده(بسیجی ۱۳ ساله),jalali,0
2025-10-30,روز نوجوان و بسیج دانش‌آموزی,jalali,0
2025-10-31,وقوع جنگ جمل بین سپاهیان امام علی(ع) و ناکثین,hijri,0
2025-11-01,شهادت آیت‌اللّه قاضی طباطبایی اولین شهید محراب به دست منافقان(۱۳۵۸ ه‍.ش),jalali,0
2025-11-03,شهادت حضرت فاطمهٔ زهرا(س)(۱۱ ه‍‍.ق) به روایتی,hijri,0
2025-11-04,تبعید امام خمینی(ره) از ایران به ترکیه(۱۳۴۳ ه‍.ش),jalali,0
2025-11-04,تسخیر لانهٔ جاسوسی آمریکا به دست دانشجویان پیرو خط امام(۱۳۵۸ ه‍.ش),jalali,0
2025-11-04,روز ملی مبارزه با استکبار جهانی,jalali,0
2025-11-04,روز دانش‌آموز,jalali,0
2025-11-05,روز فرهنگ عمومی,jalali,0
2025-11-09,روز کیفیت,jalali,0
2025-11-10,روز جهانی علم در خدمت صلح و توسعه,gregorian,0
2025-11-11,روز مجردها (Singles' Day),gregorian,0
2025-11-15,روز کتاب، کتاب‌خوانی و کتابدار,jalali,0
2025-11-15,روز بزرگداشت آیت‌اللّه علامه سید محمدحسین طباطبایی(۱۳۶۰ ه‍.ش),jalali,0
2025-11-17,وفات حضرت عبدالمطلب(ع),hijri,0
2025-11-17,سالروز آزادسازی سوسنگرد,jalali,0
2025-11-21,روز قهرمان ملی,jalali,0
2025-11-21,روز بزرگداشت ابونصر فارابی,jalali,0
2025-11-21,روز حکمت و فلسفه,jalali,0
2025-11-23,شهادت حضرت فاطمهٔ زهرا(س)(۱۱ ه‍‍.ق),hijri,1
2025-11-23,روز فیبوناچی,gregorian,0
2025-11-24,هلاکت هارون‌الرشید قاتل اما کاظم(ع),hijri,0
2025-11-24,روز تکامل,gregorian,0
2025-11-26,سالروز قیام مردم گرگان(۱۳۵۷ ه‍.ش),jalali,0
2025-11-26,تشکیل بسیج مستضعفان به فرمان حضرت امام خمینی(ره) (۱۳۵۸ ه‍.ش),jalali,0
2025-11-26,روز بسیج مستضعفان,jalali,0
2025-11-28,روز نیروی دریایی,jalali,0
2025-11-28,روز نوآوری و فناوری ایران ساخت,jalali,0
2025-11-30,روز بزرگداشت شیخ مفید,jalali,0
2025-11-30,روز جهانی امنیت کامپیوتری، روز جهانی گرامیداشت قربانیان سلاح شیمیایی,gregorian,0
2025-12-01,شهادت آیت‌اللّه سید حسن مدرس(۱۳۱۶ ه‍.ش) و روز مجلس,jalali,0
2025-12-01,روز جهانی ایدز,gregorian,0
2025-12-02,حرکت پیامبر به سمت خیبر,hijri,0
2025-12-02,شهادت میرزا کوچک خان جنگلی(۱۳۰۰ ه‍.ش),jalali,0
2025-12-03,‫وفات حضرت ام‌البنین (س),hijri,0
2025-12-03,روز تکریم مادران و همسران شهدا‬,hijri,0
2025-12-03,وفات ام‌البنین(س),hijri,0
2025-12-03,تصویب قانون اساسی جمهوری اسلامی ایران (۱۳۵۸ ه‍.ش),jalali,0
2025-12-03,روز قانون اساسی جمهوری اسلامی ایران,jalali,0
2025-12-03,روز جهانی معلولان,gregorian,0
2025-12-04,روز بیمه,jalali,0
2025-12-04,روز جهانی یوزپلنگ، روز جهانی حفاظت از حیات وحش,gregorian,0
2025-12-05,روز جهانی خاک,gregorian,0
2025-12-07,روز دانشجو,jalali,0
2025-12-07,روز جهانی هواپیمایی,gregorian,0
2025-12-09,ازدواج حضرت عبداللّه(ع) و آمنه(س),hijri,0
2025-12-09,معرفی عراق به عنوان مسئول و آغازگر جنگ از سوی سازمان ملل(۱۳۷۰ ه‍.ش),jalali,0
2025-12-10,ولادت حضرت فاطمهٔ زهرا(س)(سال هشتم قبل از هجرت) و روز زن,hijri,0
2025-12-10,تولد امام خمینی(ره) رهبر کبیر انقلاب اسلامی(۱۳۲۰ ه‍‍.ق),hijri,0
2025-12-10,تشکیل شورای عالی انقلاب فرهنگی به فرمان حضرت امام خمینی(۱۳۶۳ ه‍.ش),jalali,0
2025-12-10,روز جهانی حقوق بشر، روز جایزهٔ نوبل,gregorian,0
2025-12-11,ولادت حضرت ام‌کلثوم(س),hijri,0
2025-12-11,شهادت آیت‌اللّه دستغیب، سومین شهید محراب به دست منافقان(۱۳۶۰ ه‍.ش),jalali,0
2025-12-11,روزز یونیسف، روز جهانی کوهستان,gregorian,0
2025-12-13,روز جهانی ویولن,gregorian,0
2025-12-14,روز جهانی میمون,gregorian,0
2025-12-15,روز جهانی چای,gregorian,0
2025-12-16,روز تجلیل از شهید تندگویان,jalali,0
2025-12-16,روز پژوهش,jalali,0
2025-12-17,روز حمل و نقل و رانندگان,jalali,0
2025-12-18,شهادت آیت‌اللّه دکتر محمد مفتح(۱۳۵۸ ه‍.ش),jalali,0
2025-12-18,روز وحدت حوزه و دانشگاه,jalali,0
2025-12-18,روز جهان عاری از خشونت و افراطی‌گری,jalali,0
2025-12-21,ولادت حضرت امام محمد باقر(ع)(۵۷ ه‍‍.ق),hijri,0
2025-12-21,شب یلدا,jalali,0
2025-12-23,شهادت حضرت امام علی النقی الهادی(ع)(۲۵۴ ه‍‍.ق),hijri,0
2025-12-24,روز ثبت احوال,jalali,0
2025-12-25,روز بزرگداشت رودکی,jalali,0
2025-12-25,‫ولادت حضرت عیسی مسیح (ع),gregorian,0
2025-12-26,روز ملی ایمنی در برابر زلزله,jalali,0
2025-12-26,روز ایمنی در برابر زلزله و کاهش اثرات بلایای طبیعی,jalali,0
2025-12-28,شهادت آیت‌اللّه حسین غفاری به دست مأموران ستم‌شاهی پهلوی(۱۳۵۳ ه‍.ش),jalali,0
2025-12-28,سالروز تشکیل نهضت سوادآموزی به فرمان حضرت امام خمینی(ره)(۱۳۵۸ ه‍.ش),jalali,0
2025-12-29,ولادت حضرت علی اصغر(ع),hijri,0
